"ObjectID","Meter Number","Status","Pay By Cell Number","Meter_Hours","Parking_Facility_Name","Facility","Borough","On_Street","Side_of_Street","From_Street","To_Street","Latitude","Longitude","X","Y","Location"
"10142","1083100","Active","113377","2HR Pas Mon-Sat 0900-1900",,"On Street","Manhattan","WEST 78 STREET","S","AMSTERDAM AVENUE","BROADWAY","40.78300865666","-73.98022315527","989,726.911934465","224,548.651017979","POINT (-73.980223155267 40.7830086566592)"
"2752","1433190","Inactive","106734","3HR Com Mon-Fri 0700-1800 / 6HR Pas Mon-Fri 1800-2400 / 6HR Pas Sat 0800-2400",,"On Street","Manhattan","EAST 48 STREET","N","MADISON AVENUE","PARK AVENUE","40.75620536711","-73.97544279227","991,053.502129048","214,783.656440392","POINT (-73.9754427922715 40.7562053671116)"
"2801","2131177","Active","210439","2HR Pas Mon-Sat 0900-1900",,"On Street","Bronx","BELMONT AVENUE","E","EAST 187 STREET","EAST 188 STREET","40.85500872628","-73.8860037665","1,015,785.46644455","250,800.77764748","POINT (-73.8860037664997 40.8550087262816)"
"12767","4013120","Active","419182","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","48 AVENUE","S","45 STREET","46 STREET","40.73928479185","-73.91976902108","1,006,483.40007497","208,628.175969228","POINT (-73.9197690210835 40.7392847918529)"
"15173","4523029","Active","468150","2HR Pas Mon-Sat 0900-2200",,"On Street","Queens","73 AVENUE","S","WOODHAVEN BOULEVARD","TROTTING COURSE LANE","40.71042804556","-73.85806959389","1,023,598.40751155","198,136.465981558","POINT (-73.8580695938922 40.7104280455599)"
"14660","2043023","Active","214010","2HR Pas Mon-Sat 0800-1900",,"On Street","Bronx","EAST 170 STREET","N","TOWNSEND AVENUE","WALTON AVENUE","40.83986811167","-73.91654233231","1,007,342.65721472","245,274.959958971","POINT (-73.9165423323119 40.8398681116733)"
"8791","1463034","Active","102014","3HR Com Mon-Fri 0600-1400 /2HR Pas Mon-Fri 1400-2400 /2HR Pas Sat 0600-2400",,"On Street","Manhattan","WEST 13 STREET","N","9 AVENUE","WASHINGTON STREET","40.74077341243","-74.0069702697","982,318.459887892","209,160.422608137","POINT (-74.0069702697034 40.7407734124274)"
"327","4513019","Active","444080","2HR Pas Mon-Sat 0900-1900",,"On Street","Queens","60 AVENUE","N","138 STREET","MAIN STREET","40.74324177112","-73.82594920039","1,032,479.61514281","210,107.562118053","POINT (-73.825949200389 40.7432417711235)"
"108","3163130","Active","322208","2HR Pas Mon-Sat 0900-1900",,"On Street","Brooklyn","SNYDER AVENUE","N","EAST 49 STREET","UTICA AVENUE","40.65014120461","-73.93066859972","1,003,488.64326923","176,147.96632348","POINT (-73.9306685997231 40.6501412046054)"
"3957","1433203","Active","107253","3HR Com Mon-Fri 0700-1800 / 6HR Pas Mon-Fri 1800-2400 / 6HR Pas Sat 0800-2400",,"On Street","Manhattan","EAST 51 STREET","S","MADISON AVENUE","PARK AVENUE","40.75792695355","-73.97391832569","991,475.664342478","215,411.008532137","POINT (-73.973918325688 40.7579269535549)"
